;Model;Strategy;Sampling Strategy;Vectorizer;N-Gram;Feature Size;Accuracy;Macro-F1;Vec_N-Gram
116;Naive Bayes;prep_full;SMOTE (Oversampling);BoW;(1, 4);108930;0.73125;0.648032268017637;"BoW
(1, 4)"
117;Naive Bayes;prep_full;SMOTE (Oversampling);TF-IDF;(1, 4);108930;0.684375;0.635876068826597;"TF-IDF
(1, 4)"
118;FFNN (Updated);prep_full;SMOTE (Oversampling);BoW;(1, 4);108930;0.68125;0.6182475947726301;"BoW
(1, 4)"
119;FFNN (Updated);prep_full;SMOTE (Oversampling);TF-IDF;(1, 4);108930;0.7177083333333333;0.6710698053499305;"TF-IDF
(1, 4)"
120;Naive Bayes;prep_full;SMOTETomek (Combined);BoW;(1, 4);108930;0.73125;0.648032268017637;"BoW
(1, 4)"
121;Naive Bayes;prep_full;SMOTETomek (Combined);TF-IDF;(1, 4);108930;0.684375;0.635876068826597;"TF-IDF
(1, 4)"
122;FFNN (Updated);prep_full;SMOTETomek (Combined);BoW;(1, 4);108930;0.7125;0.6531010539682736;"BoW
(1, 4)"
123;FFNN (Updated);prep_full;SMOTETomek (Combined);TF-IDF;(1, 4);108930;0.7479166666666667;0.6971500906101271;"TF-IDF
(1, 4)"
124;Naive Bayes;prep_full;Tomek (Undersampling);BoW;(1, 4);108930;0.7333333333333333;0.6270967566316878;"BoW
(1, 4)"
125;Naive Bayes;prep_full;Tomek (Undersampling);TF-IDF;(1, 4);108930;0.6708333333333333;0.4421719721547635;"TF-IDF
(1, 4)"
126;FFNN (Updated);prep_full;Tomek (Undersampling);BoW;(1, 4);108930;0.7635416666666667;0.691790675206282;"BoW
(1, 4)"
127;FFNN (Updated);prep_full;Tomek (Undersampling);TF-IDF;(1, 4);108930;0.7479166666666667;0.6733788405116453;"TF-IDF
(1, 4)"
128;Naive Bayes;prep_masked;None (Imbalanced);BoW;(1, 1);7364;0.725;0.6631547708684642;"BoW
(1, 1)"
129;Naive Bayes;prep_masked;None (Imbalanced);TF-IDF;(1, 1);7364;0.7041666666666667;0.49895220468970775;"TF-IDF
(1, 1)"
130;FFNN (Updated);prep_masked;None (Imbalanced);BoW;(1, 1);7364;0.759375;0.7024908435041803;"BoW
(1, 1)"
131;FFNN (Updated);prep_masked;None (Imbalanced);TF-IDF;(1, 1);7364;0.7541666666666667;0.6936036939245572;"TF-IDF
(1, 1)"
132;Naive Bayes;prep_masked;SMOTE (Oversampling);BoW;(1, 1);7364;0.6677083333333333;0.592851649366345;"BoW
(1, 1)"
133;Naive Bayes;prep_masked;SMOTE (Oversampling);TF-IDF;(1, 1);7364;0.65;0.5955945166060347;"TF-IDF
(1, 1)"
134;FFNN (Updated);prep_masked;SMOTE (Oversampling);BoW;(1, 1);7364;0.7177083333333333;0.6655045302734365;"BoW
(1, 1)"
135;FFNN (Updated);prep_masked;SMOTE (Oversampling);TF-IDF;(1, 1);7364;0.753125;0.6948786706037238;"TF-IDF
(1, 1)"
136;Naive Bayes;prep_masked;SMOTETomek (Combined);BoW;(1, 1);7364;0.6635416666666667;0.5883398685150732;"BoW
(1, 1)"
137;Naive Bayes;prep_masked;SMOTETomek (Combined);TF-IDF;(1, 1);7364;0.6520833333333333;0.5986284112897357;"TF-IDF
(1, 1)"
138;FFNN (Updated);prep_masked;SMOTETomek (Combined);BoW;(1, 1);7364;0.7197916666666667;0.6618444959847539;"BoW
(1, 1)"
