Model,Sampling Strategy,Strategy,Vec_N_Gram_Label,Macro-F1,Accuracy,Is_Local_Winner
FFNN (Updated),SMOTETomek (Combined),prep_masked,"TF-IDF (1, 3)",0.6988175577105314,0.722680412371134,0
Naive Bayes,Tomek (Undersampling),prep_masked,"BoW (1, 3)",0.6662551355252093,0.7360824742268042,0
Naive Bayes,Tomek (Undersampling),prep_masked,"TF-IDF (1, 3)",0.5393911521105523,0.6979381443298969,0
FFNN (Updated),Tomek (Undersampling),prep_masked,"BoW (1, 3)",0.6876195888983613,0.7360824742268042,0
FFNN (Updated),Tomek (Undersampling),prep_masked,"TF-IDF (1, 3)",0.6879103585394208,0.7268041237113402,0
Naive Bayes,None (Imbalanced),prep_masked,"BoW (1, 4)",0.663320495863471,0.7381443298969073,0
Naive Bayes,None (Imbalanced),prep_masked,"TF-IDF (1, 4)",0.5262566363832187,0.6948453608247422,0
FFNN (Updated),None (Imbalanced),prep_masked,"BoW (1, 4)",0.7014314601618837,0.743298969072165,0
FFNN (Updated),None (Imbalanced),prep_masked,"TF-IDF (1, 4)",0.7083318470222358,0.7494845360824742,0
Naive Bayes,SMOTE (Oversampling),prep_masked,"BoW (1, 4)",0.6679794948737184,0.722680412371134,1
Naive Bayes,SMOTE (Oversampling),prep_masked,"TF-IDF (1, 4)",0.6290972538589231,0.6639175257731958,0
FFNN (Updated),SMOTE (Oversampling),prep_masked,"BoW (1, 4)",0.6528411592380828,0.7072164948453609,0
FFNN (Updated),SMOTE (Oversampling),prep_masked,"TF-IDF (1, 4)",0.6865871866153119,0.722680412371134,0
Naive Bayes,SMOTETomek (Combined),prep_masked,"BoW (1, 4)",0.6691824893540005,0.7237113402061855,1
Naive Bayes,SMOTETomek (Combined),prep_masked,"TF-IDF (1, 4)",0.6290972538589231,0.6639175257731958,0
FFNN (Updated),SMOTETomek (Combined),prep_masked,"BoW (1, 4)",0.6600493822479635,0.6948453608247422,0
FFNN (Updated),SMOTETomek (Combined),prep_masked,"TF-IDF (1, 4)",0.7014851524191209,0.7237113402061855,0
Naive Bayes,Tomek (Undersampling),prep_masked,"BoW (1, 4)",0.6661379857256146,0.7391752577319588,0
Naive Bayes,Tomek (Undersampling),prep_masked,"TF-IDF (1, 4)",0.530899859492851,0.6948453608247422,0
FFNN (Updated),Tomek (Undersampling),prep_masked,"BoW (1, 4)",0.712489507400044,0.7597938144329897,0
FFNN (Updated),Tomek (Undersampling),prep_masked,"TF-IDF (1, 4)",0.6795040291551367,0.7247422680412371,0
Naive Bayes,None (Imbalanced),prep_standard_numbers,"BoW (1, 1)",0.649796495584989,0.709278350515464,0
Naive Bayes,None (Imbalanced),prep_standard_numbers,"TF-IDF (1, 1)",0.44613618262762955,0.6824742268041237,0
FFNN (Updated),None (Imbalanced),prep_standard_numbers,"BoW (1, 1)",0.6769012368735527,0.7257731958762886,0
FFNN (Updated),None (Imbalanced),prep_standard_numbers,"TF-IDF (1, 1)",0.6749845840249313,0.7216494845360825,0
Naive Bayes,SMOTE (Oversampling),prep_standard_numbers,"BoW (1, 1)",0.6193345024787337,0.6783505154639176,0
Naive Bayes,SMOTE (Oversampling),prep_standard_numbers,"TF-IDF (1, 1)",0.5947815609197665,0.6381443298969072,0
FFNN (Updated),SMOTE (Oversampling),prep_standard_numbers,"BoW (1, 1)",0.6533585202249161,0.6865979381443299,0
FFNN (Updated),SMOTE (Oversampling),prep_standard_numbers,"TF-IDF (1, 1)",0.677335687813244,0.7010309278350515,0
Naive Bayes,SMOTETomek (Combined),prep_standard_numbers,"BoW (1, 1)",0.6193345024787337,0.6783505154639176,0
Naive Bayes,SMOTETomek (Combined),prep_standard_numbers,"TF-IDF (1, 1)",0.5951694485551634,0.6391752577319587,0
FFNN (Updated),SMOTETomek (Combined),prep_standard_numbers,"BoW (1, 1)",0.6393609176541882,0.6855670103092784,0
FFNN (Updated),SMOTETomek (Combined),prep_standard_numbers,"TF-IDF (1, 1)",0.6782369979348907,0.7134020618556701,0
Naive Bayes,Tomek (Undersampling),prep_standard_numbers,"BoW (1, 1)",0.6544933225799948,0.711340206185567,0
Naive Bayes,Tomek (Undersampling),prep_standard_numbers,"TF-IDF (1, 1)",0.47623416661583723,0.6835051546391753,0
FFNN (Updated),Tomek (Undersampling),prep_standard_numbers,"BoW (1, 1)",0.6853357018279495,0.7319587628865979,0
FFNN (Updated),Tomek (Undersampling),prep_standard_numbers,"TF-IDF (1, 1)",0.6638560546361965,0.709278350515464,0
Naive Bayes,None (Imbalanced),prep_standard_numbers,"BoW (1, 2)",0.6395756955111794,0.7175257731958763,0
Naive Bayes,None (Imbalanced),prep_standard_numbers,"TF-IDF (1, 2)",0.44060556793262373,0.668041237113402,0
FFNN (Updated),None (Imbalanced),prep_standard_numbers,"BoW (1, 2)",0.6612423856475992,0.7309278350515463,0
FFNN (Updated),None (Imbalanced),prep_standard_numbers,"TF-IDF (1, 2)",0.6897763923563188,0.7123711340206186,0
Naive Bayes,SMOTE (Oversampling),prep_standard_numbers,"BoW (1, 2)",0.6280160505427638,0.6938144329896907,0
Naive Bayes,SMOTE (Oversampling),prep_standard_numbers,"TF-IDF (1, 2)",0.6109863557461805,0.6453608247422681,0
FFNN (Updated),SMOTE (Oversampling),prep_standard_numbers,"BoW (1, 2)",0.6394569756956305,0.6907216494845361,0
FFNN (Updated),SMOTE (Oversampling),prep_standard_numbers,"TF-IDF (1, 2)",0.6724390472330525,0.7123711340206186,0
Naive Bayes,SMOTETomek (Combined),prep_standard_numbers,"BoW (1, 2)",0.6291365782726522,0.6948453608247422,0
Naive Bayes,SMOTETomek (Combined),prep_standard_numbers,"TF-IDF (1, 2)",0.6081699161520293,0.643298969072165,0
FFNN (Updated),SMOTETomek (Combined),prep_standard_numbers,"BoW (1, 2)",0.6324656581471847,0.6752577319587629,0
FFNN (Updated),SMOTETomek (Combined),prep_standard_numbers,"TF-IDF (1, 2)",0.6592726432963677,0.7,0
Naive Bayes,Tomek (Undersampling),prep_standard_numbers,"BoW (1, 2)",0.6381123632725264,0.7164948453608248,0
Naive Bayes,Tomek (Undersampling),prep_standard_numbers,"TF-IDF (1, 2)",0.48182551430484327,0.6783505154639176,0
FFNN (Updated),Tomek (Undersampling),prep_standard_numbers,"BoW (1, 2)",0.6657739671959474,0.7195876288659794,0
FFNN (Updated),Tomek (Undersampling),prep_standard_numbers,"TF-IDF (1, 2)",0.6815727192065407,0.7309278350515463,0
Naive Bayes,None (Imbalanced),prep_standard_numbers,"BoW (1, 3)",0.6348691084664818,0.7206185567010309,0
Naive Bayes,None (Imbalanced),prep_standard_numbers,"TF-IDF (1, 3)",0.43511720477664745,0.6618556701030928,0
FFNN (Updated),None (Imbalanced),prep_standard_numbers,"BoW (1, 3)",0.6888943410111343,0.7402061855670103,0
FFNN (Updated),None (Imbalanced),prep_standard_numbers,"TF-IDF (1, 3)",0.6997448796788782,0.7257731958762886,0
Naive Bayes,SMOTE (Oversampling),prep_standard_numbers,"BoW (1, 3)",0.6419121958286554,0.7061855670103093,0
Naive Bayes,SMOTE (Oversampling),prep_standard_numbers,"TF-IDF (1, 3)",0.6030157906172956,0.6381443298969072,0
FFNN (Updated),SMOTE (Oversampling),prep_standard_numbers,"BoW (1, 3)",0.6599071709105377,0.6989690721649484,0
FFNN (Updated),SMOTE (Oversampling),prep_standard_numbers,"TF-IDF (1, 3)",0.671513590092825,0.7072164948453609,0
Naive Bayes,SMOTETomek (Combined),prep_standard_numbers,"BoW (1, 3)",0.642569658974931,0.7061855670103093,0
Naive Bayes,SMOTETomek (Combined),prep_standard_numbers,"TF-IDF (1, 3)",0.6020785219731847,0.6371134020618556,0
FFNN (Updated),SMOTETomek (Combined),prep_standard_numbers,"BoW (1, 3)",0.6493179934179953,0.6865979381443299,0
FFNN (Updated),SMOTETomek (Combined),prep_standard_numbers,"TF-IDF (1, 3)",0.6672590335185697,0.6876288659793814,0
