;Model;Strategy;Sampling Strategy;Vectorizer;N-Gram;Feature Size;Accuracy;Macro-F1
102;FFNN (Updated);prep_masked;Over+Undersampling;BoW;(1, 3);68161;0.7206185567010309;0.6774446500485322
103;FFNN (Updated);prep_masked;Over+Undersampling;TF-IDF;(1, 3);68161;0.7216494845360825;0.695186043133611
104;Naive Bayes;prep_masked;Oversampling;BoW;(1, 4);98540;0.722680412371134;0.6679794948737184
105;Naive Bayes;prep_masked;Oversampling;TF-IDF;(1, 4);98540;0.6639175257731958;0.6290972538589231
106;FFNN (Updated);prep_masked;Oversampling;BoW;(1, 4);98540;0.7072164948453609;0.6638417094202612
107;FFNN (Updated);prep_masked;Oversampling;TF-IDF;(1, 4);98540;0.7257731958762886;0.6939052874012224
108;Naive Bayes;prep_masked;Over+Undersampling;BoW;(1, 4);98540;0.7237113402061855;0.6691824893540005
109;Naive Bayes;prep_masked;Over+Undersampling;TF-IDF;(1, 4);98540;0.6639175257731958;0.6290972538589231
110;FFNN (Updated);prep_masked;Over+Undersampling;BoW;(1, 4);98540;0.6948453608247422;0.6503674392312041
111;FFNN (Updated);prep_masked;Over+Undersampling;TF-IDF;(1, 4);98540;0.7371134020618557;0.6967275075389585
112;Naive Bayes;prep_masked;Oversampling;BoW;(1, 5);126104;0.722680412371134;0.6653039906309756
113;Naive Bayes;prep_masked;Oversampling;TF-IDF;(1, 5);126104;0.668041237113402;0.6324414068316507
114;FFNN (Updated);prep_masked;Oversampling;BoW;(1, 5);126104;0.6711340206185566;0.6446963383225041
115;FFNN (Updated);prep_masked;Oversampling;TF-IDF;(1, 5);126104;0.7195876288659794;0.6840376302930311
116;Naive Bayes;prep_masked;Over+Undersampling;BoW;(1, 5);126104;0.7237113402061855;0.6665034010635459
117;Naive Bayes;prep_masked;Over+Undersampling;TF-IDF;(1, 5);126104;0.668041237113402;0.6324414068316507
118;FFNN (Updated);prep_masked;Over+Undersampling;BoW;(1, 5);126104;0.711340206185567;0.6595638010590443
119;FFNN (Updated);prep_masked;Over+Undersampling;TF-IDF;(1, 5);126104;0.711340206185567;0.6819004620344563
120;Naive Bayes;prep_standard_numbers;Oversampling;BoW;(1, 1);7558;0.6783505154639176;0.6193345024787337
121;Naive Bayes;prep_standard_numbers;Oversampling;TF-IDF;(1, 1);7558;0.6381443298969072;0.5947815609197665
122;FFNN (Updated);prep_standard_numbers;Oversampling;BoW;(1, 1);7558;0.6525773195876289;0.6202485394788733
123;FFNN (Updated);prep_standard_numbers;Oversampling;TF-IDF;(1, 1);7558;0.7072164948453609;0.6737047270283476
124;Naive Bayes;prep_standard_numbers;Over+Undersampling;BoW;(1, 1);7558;0.6783505154639176;0.6193345024787337
125;Naive Bayes;prep_standard_numbers;Over+Undersampling;TF-IDF;(1, 1);7558;0.6391752577319587;0.5951694485551634
126;FFNN (Updated);prep_standard_numbers;Over+Undersampling;BoW;(1, 1);7558;0.6556701030927835;0.6134838289609864
127;FFNN (Updated);prep_standard_numbers;Over+Undersampling;TF-IDF;(1, 1);7558;0.722680412371134;0.6863187540643829
128;Naive Bayes;prep_standard_numbers;Oversampling;BoW;(1, 2);41436;0.6938144329896907;0.6280160505427638
129;Naive Bayes;prep_standard_numbers;Oversampling;TF-IDF;(1, 2);41436;0.6453608247422681;0.6109863557461805
130;FFNN (Updated);prep_standard_numbers;Oversampling;BoW;(1, 2);41436;0.6958762886597938;0.647988507567607
131;FFNN (Updated);prep_standard_numbers;Oversampling;TF-IDF;(1, 2);41436;0.7041237113402062;0.670522424212904
132;Naive Bayes;prep_standard_numbers;Over+Undersampling;BoW;(1, 2);41436;0.6948453608247422;0.6291365782726522
133;Naive Bayes;prep_standard_numbers;Over+Undersampling;TF-IDF;(1, 2);41436;0.643298969072165;0.6081699161520293
134;FFNN (Updated);prep_standard_numbers;Over+Undersampling;BoW;(1, 2);41436;0.7;0.6623129306183105
135;FFNN (Updated);prep_standard_numbers;Over+Undersampling;TF-IDF;(1, 2);41436;0.7319587628865979;0.6961848703295294
136;Naive Bayes;prep_standard_numbers;Oversampling;BoW;(1, 3);79513;0.7061855670103093;0.6419121958286554
137;Naive Bayes;prep_standard_numbers;Oversampling;TF-IDF;(1, 3);79513;0.6381443298969072;0.6030157906172956
138;FFNN (Updated);prep_standard_numbers;Oversampling;BoW;(1, 3);79513;0.7041237113402062;0.6536634930537474
139;FFNN (Updated);prep_standard_numbers;Oversampling;TF-IDF;(1, 3);79513;0.688659793814433;0.6589696569403123
140;Naive Bayes;prep_standard_numbers;Over+Undersampling;BoW;(1, 3);79513;0.7061855670103093;0.642569658974931
141;Naive Bayes;prep_standard_numbers;Over+Undersampling;TF-IDF;(1, 3);79513;0.6371134020618556;0.6020785219731847
142;FFNN (Updated);prep_standard_numbers;Over+Undersampling;BoW;(1, 3);79513;0.6865979381443299;0.6475852485067037
143;FFNN (Updated);prep_standard_numbers;Over+Undersampling;TF-IDF;(1, 3);79513;0.722680412371134;0.6824510766867946
144;Naive Bayes;prep_standard_numbers;Oversampling;BoW;(1, 4);115908;0.7072164948453609;0.6401828570201992
145;Naive Bayes;prep_standard_numbers;Oversampling;TF-IDF;(1, 4);115908;0.6360824742268041;0.6009954148544806
146;FFNN (Updated);prep_standard_numbers;Oversampling;BoW;(1, 4);115908;0.6793814432989691;0.6349907257528026
147;FFNN (Updated);prep_standard_numbers;Oversampling;TF-IDF;(1, 4);115908;0.7041237113402062;0.6808272926329906
148;Naive Bayes;prep_standard_numbers;Over+Undersampling;BoW;(1, 4);115908;0.7072164948453609;0.6401828570201992
149;Naive Bayes;prep_standard_numbers;Over+Undersampling;TF-IDF;(1, 4);115908;0.6360824742268041;0.6009954148544806
150;FFNN (Updated);prep_standard_numbers;Over+Undersampling;BoW;(1, 4);115908;0.6989690721649484;0.636713315776328
151;FFNN (Updated);prep_standard_numbers;Over+Undersampling;TF-IDF;(1, 4);115908;0.7030927835051546;0.6755354364771565
152;Naive Bayes;prep_standard_numbers;Oversampling;BoW;(1, 5);149228;0.7082474226804124;0.6301650165016502
153;Naive Bayes;prep_standard_numbers;Oversampling;TF-IDF;(1, 5);149228;0.6402061855670103;0.6036699512164467
154;FFNN (Updated);prep_standard_numbers;Oversampling;BoW;(1, 5);149228;0.6835051546391753;0.6378431753431754
155;FFNN (Updated);prep_standard_numbers;Oversampling;TF-IDF;(1, 5);149228;0.6989690721649484;0.6864648615551042
156;Naive Bayes;prep_standard_numbers;Over+Undersampling;BoW;(1, 5);149228;0.7082474226804124;0.6301650165016502
157;Naive Bayes;prep_standard_numbers;Over+Undersampling;TF-IDF;(1, 5);149228;0.6402061855670103;0.6039582587628155
158;FFNN (Updated);prep_standard_numbers;Over+Undersampling;BoW;(1, 5);149228;0.6742268041237114;0.6286741297032745
159;FFNN (Updated);prep_standard_numbers;Over+Undersampling;TF-IDF;(1, 5);149228;0.6876288659793814;0.652577193338063
