;Model;Strategy;Sampling Strategy;Vectorizer;N-Gram;Feature Size;Accuracy;Macro-F1;Vec_N-Gram
93;Naive Bayes;prep_full;Tomek (Undersampling);TF-IDF;(1, 2);42101;0.6677148846960168;0.43573199325660744;"TF-IDF
(1, 2)"
94;FFNN (Updated);prep_full;Tomek (Undersampling);BoW;(1, 2);42101;0.7442348008385744;0.673329217471832;"BoW
(1, 2)"
95;FFNN (Updated);prep_full;Tomek (Undersampling);TF-IDF;(1, 2);42101;0.7368972746331237;0.7006032541846418;"TF-IDF
(1, 2)"
96;Naive Bayes;prep_full;None (Imbalanced);BoW;(1, 3);76081;0.7232704402515723;0.6119666811014531;"BoW
(1, 3)"
97;Naive Bayes;prep_full;None (Imbalanced);TF-IDF;(1, 3);76081;0.6656184486373166;0.42921681327861244;"TF-IDF
(1, 3)"
98;FFNN (Updated);prep_full;None (Imbalanced);BoW;(1, 3);76081;0.7442348008385744;0.6775829973458974;"BoW
(1, 3)"
99;FFNN (Updated);prep_full;None (Imbalanced);TF-IDF;(1, 3);76081;0.7264150943396226;0.6810248128295259;"TF-IDF
(1, 3)"
100;Naive Bayes;prep_full;SMOTE (Oversampling);BoW;(1, 3);76081;0.6939203354297694;0.598016467967708;"BoW
(1, 3)"
101;Naive Bayes;prep_full;SMOTE (Oversampling);TF-IDF;(1, 3);76081;0.6865828092243187;0.647174213904008;"TF-IDF
(1, 3)"
102;FFNN (Updated);prep_full;SMOTE (Oversampling);BoW;(1, 3);76081;0.6886792452830188;0.6112915806452931;"BoW
(1, 3)"
103;FFNN (Updated);prep_full;SMOTE (Oversampling);TF-IDF;(1, 3);76081;0.7526205450733753;0.6864760555921293;"TF-IDF
(1, 3)"
104;Naive Bayes;prep_full;SMOTETomek (Combined);BoW;(1, 3);76081;0.6949685534591195;0.598736442873199;"BoW
(1, 3)"
105;Naive Bayes;prep_full;SMOTETomek (Combined);TF-IDF;(1, 3);76081;0.6865828092243187;0.647174213904008;"TF-IDF
(1, 3)"
106;FFNN (Updated);prep_full;SMOTETomek (Combined);BoW;(1, 3);76081;0.7033542976939203;0.6486968463755851;"BoW
(1, 3)"
107;FFNN (Updated);prep_full;SMOTETomek (Combined);TF-IDF;(1, 3);76081;0.7368972746331237;0.6822322231451516;"TF-IDF
(1, 3)"
108;Naive Bayes;prep_full;Tomek (Undersampling);BoW;(1, 3);76081;0.7232704402515723;0.6119666811014531;"BoW
(1, 3)"
109;Naive Bayes;prep_full;Tomek (Undersampling);TF-IDF;(1, 3);76081;0.6656184486373166;0.42921681327861244;"TF-IDF
(1, 3)"
110;FFNN (Updated);prep_full;Tomek (Undersampling);BoW;(1, 3);76081;0.7557651991614256;0.6936834526090516;"BoW
(1, 3)"
111;FFNN (Updated);prep_full;Tomek (Undersampling);TF-IDF;(1, 3);76081;0.7358490566037735;0.6843663916677406;"TF-IDF
(1, 3)"
112;Naive Bayes;prep_full;None (Imbalanced);BoW;(1, 4);107345;0.7190775681341719;0.6042457039185404;"BoW
(1, 4)"
113;Naive Bayes;prep_full;None (Imbalanced);TF-IDF;(1, 4);107345;0.660377358490566;0.4094926577823868;"TF-IDF
(1, 4)"
114;FFNN (Updated);prep_full;None (Imbalanced);BoW;(1, 4);107345;0.7515723270440252;0.6906251674028713;"BoW
(1, 4)"
115;FFNN (Updated);prep_full;None (Imbalanced);TF-IDF;(1, 4);107345;0.7431865828092243;0.6930325315657099;"TF-IDF
(1, 4)"
116;Naive Bayes;prep_full;SMOTE (Oversampling);BoW;(1, 4);107345;0.7033542976939203;0.6057998763178633;"BoW
(1, 4)"
117;Naive Bayes;prep_full;SMOTE (Oversampling);TF-IDF;(1, 4);107345;0.6813417190775681;0.6408007091526415;"TF-IDF
(1, 4)"
118;FFNN (Updated);prep_full;SMOTE (Oversampling);BoW;(1, 4);107345;0.7169811320754716;0.6539192461455601;"BoW
(1, 4)"
119;FFNN (Updated);prep_full;SMOTE (Oversampling);TF-IDF;(1, 4);107345;0.7389937106918238;0.6803846751569061;"TF-IDF
(1, 4)"
120;Naive Bayes;prep_full;SMOTETomek (Combined);BoW;(1, 4);107345;0.7033542976939203;0.6057998763178633;"BoW
(1, 4)"
121;Naive Bayes;prep_full;SMOTETomek (Combined);TF-IDF;(1, 4);107345;0.6813417190775681;0.6408007091526415;"TF-IDF
(1, 4)"
122;FFNN (Updated);prep_full;SMOTETomek (Combined);BoW;(1, 4);107345;0.70020964360587;0.6410422196945574;"BoW
(1, 4)"
123;FFNN (Updated);prep_full;SMOTETomek (Combined);TF-IDF;(1, 4);107345;0.7389937106918238;0.6849409849409849;"TF-IDF
(1, 4)"
124;Naive Bayes;prep_full;Tomek (Undersampling);BoW;(1, 4);107345;0.7190775681341719;0.6042457039185404;"BoW
(1, 4)"
125;Naive Bayes;prep_full;Tomek (Undersampling);TF-IDF;(1, 4);107345;0.6624737945492662;0.41287045098770286;"TF-IDF
(1, 4)"
126;FFNN (Updated);prep_full;Tomek (Undersampling);BoW;(1, 4);107345;0.749475890985325;0.6809628615480193;"BoW
(1, 4)"
127;FFNN (Updated);prep_full;Tomek (Undersampling);TF-IDF;(1, 4);107345;0.7180293501048218;0.6847825898009913;"TF-IDF
(1, 4)"
128;Naive Bayes;prep_masked;None (Imbalanced);BoW;(1, 1);7293;0.7117400419287212;0.6359233022435055;"BoW
(1, 1)"
129;Naive Bayes;prep_masked;None (Imbalanced);TF-IDF;(1, 1);7293;0.6876310272536688;0.4701328529162547;"TF-IDF
(1, 1)"
130;FFNN (Updated);prep_masked;None (Imbalanced);BoW;(1, 1);7293;0.7410901467505241;0.6852737086308988;"BoW
(1, 1)"
131;FFNN (Updated);prep_masked;None (Imbalanced);TF-IDF;(1, 1);7293;0.7442348008385744;0.6781860758968471;"TF-IDF
(1, 1)"
132;Naive Bayes;prep_masked;SMOTE (Oversampling);BoW;(1, 1);7293;0.6624737945492662;0.6033845791731555;"BoW
(1, 1)"
133;Naive Bayes;prep_masked;SMOTE (Oversampling);TF-IDF;(1, 1);7293;0.6362683438155137;0.5921688424848073;"TF-IDF
(1, 1)"
134;FFNN (Updated);prep_masked;SMOTE (Oversampling);BoW;(1, 1);7293;0.6865828092243187;0.6435892800727795;"BoW
(1, 1)"
135;FFNN (Updated);prep_masked;SMOTE (Oversampling);TF-IDF;(1, 1);7293;0.6918238993710691;0.6536661692217248;"TF-IDF
(1, 1)"
136;Naive Bayes;prep_masked;SMOTETomek (Combined);BoW;(1, 1);7293;0.6614255765199162;0.6026625630861974;"BoW
(1, 1)"
137;Naive Bayes;prep_masked;SMOTETomek (Combined);TF-IDF;(1, 1);7293;0.6352201257861635;0.5910242958135771;"TF-IDF
(1, 1)"
138;FFNN (Updated);prep_masked;SMOTETomek (Combined);BoW;(1, 1);7293;0.6781970649895178;0.6216969767430972;"BoW
(1, 1)"
139;FFNN (Updated);prep_masked;SMOTETomek (Combined);TF-IDF;(1, 1);7293;0.7327044025157232;0.6859159973717862;"TF-IDF
(1, 1)"
140;Naive Bayes;prep_masked;Tomek (Undersampling);BoW;(1, 1);7293;0.7085953878406709;0.6329825403937116;"BoW
(1, 1)"
