;Model;Strategy;Vectorizer;N-Gram;Sampling Strategy;Accuracy;Macro-F1;Sampled_Hyperparameters;Vec_N-Gram
67;FFNN;prep_full;BoW;(1, 1);SMOTE (Oversampling);0.695697796432319;0.6407396348142184;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
68;Naive Bayes;prep_full;BoW;(1, 1);SMOTETomek (Combined);0.6558237145855194;0.5856754926505574;{'alpha': 0.01, 'fit_prior': False};"BoW
(1, 1)"
69;FFNN;prep_full;BoW;(1, 1);SMOTETomek (Combined);0.6904512067156349;0.642916111269972;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
70;Naive Bayes;prep_full;BoW;(1, 1);Tomek (Undersampling);0.6495278069254984;0.6059124955646767;{'alpha': 0.1, 'fit_prior': False};"BoW
(1, 1)"
71;FFNN;prep_full;BoW;(1, 1);Tomek (Undersampling);0.7618048268625394;0.7081904373555026;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
72;Naive Bayes;prep_full;BoW;(1, 2);None (Imbalanced);0.7250786988457503;0.6567286274438667;{'alpha': 1.0, 'fit_prior': True};"BoW
(1, 2)"
73;FFNN;prep_full;BoW;(1, 2);None (Imbalanced);0.7555089192025184;0.7011401336250058;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 2)"
74;Naive Bayes;prep_full;BoW;(1, 2);SMOTE (Oversampling);0.6946484784889821;0.6338619196528763;{'alpha': 0.1, 'fit_prior': True};"BoW
(1, 2)"
75;FFNN;prep_full;BoW;(1, 2);SMOTE (Oversampling);0.6610703043022036;0.6093266070015557;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 2)"
76;Naive Bayes;prep_full;BoW;(1, 2);SMOTETomek (Combined);0.6988457502623295;0.640134863600867;{'alpha': 1.0, 'fit_prior': False};"BoW
(1, 2)"
77;FFNN;prep_full;BoW;(1, 2);SMOTETomek (Combined);0.6789087093389297;0.6349359203151209;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 2)"
