;Model;Strategy;Vectorizer;N-Gram;Sampling Strategy;Accuracy;Macro-F1;Sampled_Hyperparameters;Vec_N-Gram
53;FFNN;prep_standard;BoW;(1, 1);SMOTETomek (Combined);0.7282266526757608;0.662099145502247;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
54;FFNN;prep_standard;BoW;(1, 1);SMOTETomek (Combined);0.6789087093389297;0.630605349863182;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
55;FFNN;prep_standard;BoW;(1, 1);SMOTETomek (Combined);0.6967471143756558;0.6532246035037192;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
56;FFNN;prep_standard;BoW;(1, 1);SMOTETomek (Combined);0.6778593913955928;0.6242260126442325;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
57;FFNN;prep_standard;BoW;(1, 1);SMOTETomek (Combined);0.6726128016789087;0.625477395861089;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
58;FFNN;prep_standard;BoW;(1, 1);SMOTETomek (Combined);0.6715634837355718;0.6168534267176763;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
59;FFNN;prep_standard;BoW;(1, 1);SMOTETomek (Combined);0.6862539349422875;0.6350470811589924;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
60;Naive Bayes;prep_standard;BoW;(1, 1);Tomek (Undersampling);0.7061909758656874;0.6374072418689081;{'alpha': 1.0, 'fit_prior': True};"BoW
(1, 1)"
61;Naive Bayes;prep_standard;BoW;(1, 1);Tomek (Undersampling);0.7061909758656874;0.6374072418689081;{'alpha': 1.0, 'fit_prior': True};"BoW
(1, 1)"
62;Naive Bayes;prep_standard;BoW;(1, 1);Tomek (Undersampling);0.633788037775446;0.5835137389452655;{'alpha': 0.1, 'fit_prior': False};"BoW
(1, 1)"
